ID,Character,Prompt,Left_Choice,Left_Piety,Left_Stability,Left_Power,Left_Wealth,Right_Choice,Right_Piety,Right_Stability,Right_Power,Right_Wealth,Requires_Card,Requires_Choice,Requires_Metric,Requires_Range,Chain_Card
117,General,"The general presents troop readiness reports: ""Military training methods grow outdated, Your Highness. Reform proposals await.""","Proven techniques have served generations; maintain tradition.",10,0,10,-5,"Warfare evolves constantly; modernize immediately!",-10,0,25,-20,,,,,118
118,General,"The military commander details training regimens: ""Your military modernization decision affects combat readiness. Training approaches differ.""",Incremental improvements preserving core traditions.,5,0,15,-10,Revolutionary overhaul adopting foreign techniques.,-15,-5,30,-25,117,Right,,,
119,Captain of the Guard,"The captain reports directly: ""Royal protection protocols require review, Sire. Assassination attempts increase across neighboring realms.""","Current measures suffice; avoid creating anxiety.",5,10,-5,5,"No risk is acceptable; implement maximum security.",-5,-10,15,-15,,,,,120
120,Captain of the Guard,"The security chief presents protection options: ""Your security decision affects royal accessibility. Methodology choices await.""",Open court days with enhanced screening procedures.,0,15,-5,-5,Limited public appearances with extensive security measures.,5,-20,10,-10,119,Left,,,
121,Knight Chapter-Master,"The knight commander appears troubled: ""Dissent spreads within the order, Your Majesty. Traditional members resist change.""","Ancient ways preserve core values; support traditionalists.",20,-10,5,-5,"Progress requires adaptation; back progressive factions.",-20,15,10,-10,,,,,122
122,Knight Chapter-Master,"The order leader discusses internal politics: ""Your factional support affects knightly culture. Philosophical approaches compete.""",Reinforce hierarchical authority structures.,15,-15,15,-10,Introduce representative councils for decision-making.,-15,20,5,-5,121,Right,,,
123,Fleet Admiral,"The admiral presents maritime reports: ""Naval recruitment falters, Your Highness. Seafaring careers lack prestige.""","Focus on our land forces; the navy remains secondary.",5,-5,10,10,"Naval power ensures trade security; elevate its status.",-5,10,15,-15,,,,,124
124,Fleet Admiral,"The naval commander discusses recruitment strategies: ""Your naval prestige decision affects maritime strength. Incentive approaches vary.""",Mandatory service quotas for coastal populations.,0,-20,20,-5,Improved pay and veterans' benefits attracting volunteers.,-5,25,10,-20,123,Right,,,
125,Master of Arms,"The armorer appears excited: ""Foreign craftsmen offer advanced metallurgy techniques, Sire. They request substantial payment.""","Traditional methods have proven reliable; decline politely.",10,-5,10,15,"Technical advantage ensures victory; hire them immediately!",-10,10,20,-25,,,,,126
126,Master of Arms,"The weapons master examines new alloys: ""Your metallurgy decision affects weapon quality. Production approaches differ.""",Focus on increased production of standard weapons.,0,0,15,-15,Specialized production of superior arms for elite forces.,-5,-5,25,-20,125,Right,,,
127,Master of the Stables,"The stable master requests audience: ""Horse breeding lines weaken, Your Majesty. New bloodstock would strengthen cavalry mounts.""","Current stock serves adequately; avoid unnecessary expense.",5,0,10,10,"Military excellence requires superior mounts; import new lines.",-5,0,20,-20,,,,,128
128,Master of the Stables,"The breeding expert presents bloodline charts: ""Your horse breeding decision affects cavalry capabilities. Selection criteria await.""",Focus on strength and endurance for heavy cavalry.,0,-5,20,-15,Emphasize speed and agility for scout and light cavalry.,0,5,15,-10,127,Right,,,
129,Master of the Kennels,"The kennel master speaks proudly: ""Neighboring kingdoms request our renowned hunting hounds, Your Highness. Export opportunities arise.""","Our hounds represent royal prestige; keep bloodlines exclusive.",10,-5,5,0,"Diplomatic gifts cement alliances; share selectively.",-5,15,0,-5,,,,,130
130,Master of the Kennels,"The canine expert discusses selective breeding: ""Your hound export decision affects hunting traditions. Diplomatic approaches vary.""",Ceremonial gifts only to highest-ranking foreign royalty.,15,-10,0,-5,Strategic distribution strengthening multiple alliances.,-10,20,-5,0,129,Right,,,
131,Master of Spies,"The spymaster appears nervous: ""A foreign agent seeks to defect, Your Majesty. They offer sensitive information.""","Such turncoats cannot be trusted; reject their approach.",10,0,5,0,"Valuable intelligence justifies the risk; grant protection.",-10,-5,15,-10,,,,,132
132,Master of Spies,"The intelligence chief evaluates information: ""Your defector decision affects intelligence operations. Information validation approaches vary.""",Limited cooperation with extensive verification.,5,-5,10,-5,Full integration into our intelligence apparatus.,-15,-10,20,-15,131,Right,,,
133,Cardinal,"The cardinal speaks with divine confidence: ""Church lands face taxation proposals, Your Majesty. The clergy strongly opposes this.""","Divine property serves all; maintain tax exemptions.",25,-20,0,-15,"Equitable contribution benefits the realm; implement taxation.",-30,25,0,20,,,,,134
134,Cardinal,"The religious leader discusses ecclesiastical politics: ""Your church taxation decision affects spiritual authority. Implementation approaches differ.""",Token contributions reaffirming church autonomy.,15,-10,0,-10,Comprehensive integration into standard tax structures.,-25,15,0,15,133,Right,,,
135,Abbot,"The abbot petitions earnestly: ""Ancient monastery texts deteriorate, Your Highness. Preservation requires royal funding.""","Practical knowledge deserves priority; limit support.",10,-10,0,5,"Historical wisdom must be preserved; fund fully!",-10,15,0,-15,,,,,136
136,Abbot,"The monastic scholar presents preservation plans: ""Your manuscript decision affects cultural heritage. Restoration approaches await.""",Focus on religious and politically significant texts.,15,-5,0,-10,Comprehensive preservation of all historical documents.,-15,20,0,-15,135,Right,,,
137,Grand Inquisitor,"The inquisitor's voice carries religious fervor: ""Foreign religious texts cross our borders, Sire. Heretical ideas spread.""","Intellectual freedom strengthens faith; allow circulation.",-25,20,-5,-5,"Spiritual corruption must be prevented; ban all foreign texts!",30,-25,5,-10,,,,,138
138,Grand Inquisitor,"The religious enforcer discusses ideological control: ""Your book censorship decision affects religious unity. Enforcement methods vary.""",Restricted list of specifically prohibited texts.,15,-15,0,-5,Comprehensive approval system for all printed materials.,25,-25,10,-15,137,Right,,,
139,Court Philosopher,"The philosopher speaks passionately: ""Educational access shapes society, Your Majesty. Shall we establish public academies?""","Knowledge serves those who govern; maintain elite education.",15,-20,5,10,"Enlightened citizens strengthen the realm; expand access!",-15,25,-5,-20,,,,,140
140,Court Philosopher,"The educational theorist discusses learning approaches: ""Your academy decision affects intellectual development. Pedagogical methods diverge.""",Classical education emphasizing ancient authorities.,20,-10,10,-10,Practical education focusing on applicable skills.,-10,20,-5,-15,139,Right,,,
141,Court Mystic,"The mystic gestures toward celestial charts: ""Astrological alignments suggest propitious timing, Sire. State decisions await cosmic harmony.""","Governance requires practical timing; ignore such vagaries.",20,-15,0,0,"Celestial forces influence outcomes; align major decisions!",-20,10,0,-5,,,,,142
142,Court Mystic,"The astrologer calculates optimal dates: ""Your astrological stance affects state timing. Decision scheduling approaches differ.""",Public rejection while maintaining private consultation.,15,-10,0,-5,Official incorporation of astrological timing in ceremonies.,-25,15,0,-10,141,Right,,,
143,Court Alchemist,"The alchemist presents strange compounds: ""New medicinal preparations show promise, Your Majesty. Testing requires royal approval.""","Traditional remedies have proven reliability; proceed cautiously.",15,-5,0,-5,"Medical advancement saves lives; authorize extensive testing!",-15,15,0,-15,,,,,144
144,Court Alchemist,"The medical researcher discusses pharmaceutical development: ""Your medical testing decision affects public health. Research approaches vary.""",Limited trials on convicted criminals.,10,-20,5,-10,Voluntary testing program with compensation for participants.,-10,25,0,-15,143,Right,,,
145,Court Astronomer,"The astronomer displays navigational instruments: ""Maritime exploration requires celestial guidance, Sire. Naval training needs astronomical knowledge.""","Practical seamanship suffices; limit theoretical training.",10,-5,10,0,"Precision navigation requires science; expand education!",-10,15,15,-15,,,,,146
146,Court Astronomer,"The navigation expert discusses training programs: ""Your astronomical education decision affects maritime capability. Training approaches differ.""",Practical starfinding techniques for navigational officers only.,5,0,15,-10,Comprehensive astronomical education throughout naval forces.,-5,10,20,-20,145,Right,,,
147,Royal Cartographer,"The cartographer appears excited: ""Reports of western islands emerge, Your Highness. Exploratory expeditions await authorization.""","Known territories demand attention; delay exploration.",10,-10,5,15,"Discovery brings opportunity; fund the expedition!",-10,15,15,-25,,,,,148
148,Royal Cartographer,"The exploration planner discusses voyage preparations: ""Your exploration decision shapes maritime discovery. Expedition goals vary.""",Scientific documentation of geographic features.,0,5,10,-15,Territorial claims and resource assessment.,-5,0,20,-20,147,Right,,,
149,Royal Librarian,"The librarian speaks with scholarly passion: ""Ancient histories contradict official chronicles, Your Majesty. Historical accuracy questions arise.""","Established narratives maintain stability; suppress contradictions.",20,-15,0,0,"Truth serves scholarship; allow historical revisions.",-20,10,0,-10,,,,,150
150,Royal Librarian,"The historian discusses narrative approaches: ""Your historical accuracy decision affects cultural identity. Scholarly methods compete.""",Controlled revisions by court-appointed scholars.,15,-10,5,-5,Open academic inquiry with publication freedom.,-25,20,-5,-15,149,Right,,,
151,Chief Scribe,"The scribe presents legal documents: ""Provincial laws lack consistency, Your Highness. Standardization would improve governance.""","Local variation respects regional traditions; maintain diversity.",5,-5,0,0,"Uniform law ensures equal treatment; standardize immediately!",-5,15,5,-10,,,,,152
152,Chief Scribe,"The legal administrator discusses codification: ""Your legal standardization decision affects governance. Implementation approaches vary.""",Gradual harmonization preserving key regional variations.,10,0,5,-5,Comprehensive unification with immediate enforcement.,-10,10,10,-15,151,Right,,,
153,Court Physician,"The physician appears troubled: ""Noble families suffer frequent infant mortality, Sire. Childcare practices require modernization.""","Traditional methods have served generations; respect customary practices.",15,-10,0,0,"Scientific approaches save lives; mandate new methods!",-15,20,0,-10,,,,,154
154,Court Physician,"The pediatric specialist discusses childcare: ""Your childcare modernization affects noble families. Implementation approaches differ.""",Educational campaigns preserving parental authority.,10,0,0,-5,Mandatory protocols enforced by royal physicians.,-20,15,0,-15,153,Right,,,
155,Plague Doctor,"The masked healer speaks urgently: ""Disease vectors remain poorly understood, Your Majesty. Research requires funding.""","Practical treatment outweighs theoretical knowledge; limit funding.",15,-15,0,5,"Understanding causes prevents outbreaks; fund research!",-15,25,0,-20,,,,,156
156,Plague Doctor,"The epidemiologist discusses research directions: ""Your medical research decision affects public health. Investigative approaches vary.""",Focus on immediate symptom alleviation and treatments.,20,-10,0,-10,Comprehensive study of transmission and prevention.,-15,25,0,-15,155,Right,,,
157,Master Builder,"The architect presents urban plans: ""City growth occurs without direction, Your Highness. Planned development awaits approval.""","Organic growth reflects natural needs; avoid interference.",0,-10,0,5,"Order improves efficiency; implement urban planning!",-5,20,0,-15,,,,,158
158,Master Builder,"The urban planner discusses development: ""Your city planning decision affects urban growth. Design philosophies differ.""",Aesthetic focus emphasizing beauty and monumentality.,10,-5,0,-20,Functional approach prioritizing sanitation and transportation.,-5,25,0,-15,157,Right,,,
159,Master Blacksmith,"The smith presents military concerns: ""Armor quality varies widely, Sire. Standardization would improve battlefield survival.""","Individual craftsmanship ensures quality; maintain guild production.",10,-5,5,-5,"Consistent protection saves lives; standardize production!",-5,10,15,-15,,,,,160
160,Master Blacksmith,"The armorer discusses production methods: ""Your armor standardization decision affects military readiness. Manufacturing approaches vary.""",Quality-focused production for elite forces only.,15,-10,20,-20,Mass production of standard protective equipment.,-5,5,15,-15,159,Right,,,
161,Master Shipwright,"The shipbuilder presents harbor limitations: ""Naval expansion requires improved facilities, Your Majesty. Dockyard capacity constrains growth.""","Current facilities suffice with scheduling improvements.",0,-5,10,10,"Maritime power requires infrastructure; expand dockyards!",-5,10,20,-25,,,,,162
162,Master Shipwright,"The marine engineer discusses facility designs: ""Your dockyard decision affects naval capability. Construction approaches differ.""",Military focus prioritizing warship maintenance.,0,-10,25,-20,Commercial emphasis supporting trade and exploration.,-5,20,10,-15,161,Right,,,
163,Guild Merchant,"The merchant speaks confidentially: ""Trade guilds grow powerful, Your Majesty. Their monopolies affect market prices.""","Guild expertise ensures quality; maintain their privileges.",10,-15,-5,15,"Free competition benefits consumers; break monopolies!",-10,25,0,-15,,,,,164
164,Guild Merchant,"The economic advisor discusses market regulation: ""Your guild policy affects commercial development. Regulatory approaches vary.""",Maintained monopolies with price controls.,5,-10,0,10,Open markets with quality standards enforcement.,-5,20,-5,-5,163,Right,,,
165,Master of the Hunt,"The huntsman kneels respectfully: ""Poaching increases in royal forests, Your Highness. Game populations dwindle.""","Harsh punishment deters criminals; increase penalties.",5,-25,10,-5,"Hunger drives desperation; allow limited common hunting.",-5,30,-5,-10,,,,,166
166,Master of the Hunt,"The game warden discusses conservation: ""Your poaching response affects forest management. Enforcement approaches differ.""",Armed patrols with authority to execute poachers.,10,-30,15,-10,Regulated hunting licenses available to commoners.,-10,25,-10,5,165,Right,,,
167,Royal Falconer,"The falconer requests audience: ""Training methods stagnate, Your Majesty. Foreign techniques show superior results.""","Traditional methods connect us to our heritage; maintain practices.",15,-5,0,-5,"Excellence requires innovation; adopt new techniques!",-10,10,0,-10,,,,,168
168,Royal Falconer,"The bird trainer demonstrates methods: ""Your falconry modernization decision affects hunting traditions. Training approaches compete.""",Gradual incorporation of select foreign elements.,10,0,5,-10,Comprehensive adoption of revolutionary techniques.,-15,15,5,-15,167,Right,,,
169,Master of the Harvest,"The agricultural advisor appears concerned: ""Crop failure threatens northern provinces, Sire. Famine relief requires planning.""","Local authorities must handle regional issues; minimize crown involvement.",10,-25,0,10,"Central response ensures fairness; organize relief efforts!",-10,30,0,-20,,,,,170
170,Master of the Harvest,"The famine relief coordinator discusses distribution: ""Your relief policy affects public welfare. Implementation approaches vary.""",Food loans to be repaid from future harvests.,5,-15,0,5,Direct grants to affected populations.,-15,25,0,-15,169,Right,,,
171,Peasant Bailiff,"The representative speaks hesitantly: ""Village boundaries cause disputes, Your Majesty. Land claims overlap.""","Ancient usage determines rights; local courts must decide.",5,-10,0,0,"Clear boundaries prevent conflict; send royal surveyors.",-5,15,0,-10,,,,,172
172,Peasant Bailiff,"The land administrator discusses boundary resolution: ""Your land dispute approach affects rural stability. Implementation methods differ.""",Case-by-case adjudication by traveling judges.,10,-5,0,-5,Comprehensive mapping and recorded deed system.,-10,20,0,-15,171,Right,,,
173,Queen,"The queen speaks with maternal concern: ""Royal children require proper education, my husband. Tutors await your guidance.""","Traditional subjects preserve noble values; focus on classics.",15,-5,10,-5,"Modern governance requires practical knowledge; emphasize statecraft.",-10,10,5,-10,,,,,174
174,Queen,"The royal parent discusses educational approaches: ""Your educational policy shapes future rulers. Pedagogical methods vary.""",Religious and moral instruction emphasizing character.,20,-10,0,-5,Administrative and military training emphasizing governance.,-5,5,15,-10,173,Right,,,
175,Prince,"The young heir speaks ambitiously: ""Military command builds leadership, Father. Allow me to lead troops in upcoming exercises.""","Command requires experience you lack; continue theoretical studies.",0,0,5,0,"Practical leadership builds capability; grant command.",-5,0,15,-5,,,,,176
176,Prince,"The royal heir discusses military approach: ""Your command decision shapes my leadership development. Tactical philosophies await.""",Conservative tactics minimizing troop losses.,5,10,-5,0,Aggressive strategies seeking decisive victory.,-5,-10,20,-10,175,Right,,,
177,Princess,"The princess speaks of cultural patronage: ""The arts languish without support, Father. Allow me to sponsor artists.""","Practical governance awaits your attention; focus on statecraft.",10,-15,0,5,"Cultural flourishing reflects royal glory; grant patronage.",-10,25,0,-15,,,,,178
178,Princess,"The royal patron discusses artistic direction: ""Your patronage decision shapes cultural development. Artistic approaches differ.""",Traditional art celebrating royal and religious themes.,15,-5,0,-10,Innovative expressions challenging conventional forms.,-20,20,0,-15,177,Right,,,
179,Noble Lord,"The aristocrat speaks confidentially: ""Provincial nobles grow restless, Your Majesty. They desire greater council representation.""","The crown determines policy; maintain limited consultation.",15,-20,10,-5,"Diverse perspectives strengthen governance; expand the council.",-15,25,-5,-10,,,,,180
180,Noble Lord,"The political advisor discusses council structure: ""Your representation decision affects noble relations. Governance approaches vary.""",Appointed council serving at royal pleasure.,10,-15,15,0,Regular assembly with procedural rights.,-20,20,-10,-5,179,Right,,,
181,Noble Lady,"The noblewoman speaks of marriage alliances: ""Noble houses consolidate power, Your Highness. Strategic marriages shift influence.""","Natural alliances form without interference; maintain distance.",5,-10,0,0,"Balance of power requires management; guide key marriages.",-5,15,0,-5,,,,,182
182,Noble Lady,"The court influence expert discusses alliance patterns: ""Your marriage policy affects power distribution. Intervention levels vary.""",Approval requirements for highest noble marriages only.,10,-5,5,-5,Comprehensive marriage approval system for all nobility.,-15,15,10,-10,181,Right,,,
183,Royal Jester,"The fool speaks truth behind humor: ""Public sentiment darkens, Sire. Regional festivals could lighten the mood.""","Frivolity wastes resources in serious times; postpone celebrations.",10,-25,0,10,"Joy binds people to throne; authorize regional festivities!",-10,30,0,-15,,,,,184
184,Royal Jester,"The entertainment coordinator discusses festival types: ""Your celebration decision affects public morale. Festival approaches vary.""",Religious observations emphasizing spiritual unity.,15,-10,0,-10,Secular celebrations featuring games and performances.,-15,25,0,-15,183,Right,,,
185,Royal Advisor,"The advisor presents diplomatic communications: ""Foreign powers question succession clarity, Your Majesty. Formal declaration would stabilize relations.""","Traditional understanding suffices; avoid unnecessary proclamations.",10,-5,5,0,"Clear succession prevents conflict; issue formal documentation.",-5,15,0,-5,,,,,186
186,Royal Advisor,"The succession expert discusses legal frameworks: ""Your succession clarification affects stability. Documentation approaches vary.""",Private assurances to key allies and nobles only.,5,0,0,0,Public proclamation with ceremonial oath-taking.,-10,20,-5,-10,185,Right,,,
187,Cardinal,"The cardinal speaks with religious authority: ""Sacred relics generate pilgrim revenue, Your Majesty. Cathedral construction would increase visitors.""","Practical infrastructure deserves priority; delay construction.",15,-15,0,10,"Faith manifested in stone inspires all; begin building!",-15,20,0,-25,,,,,188
188,Cardinal,"The religious architect discusses cathedral designs: ""Your construction decision shapes spiritual expression. Architectural approaches differ.""",Traditional design emphasizing established symbolism.,20,-5,0,-15,Innovative architecture incorporating modern elements.,-20,15,0,-20,187,Right,,,
189,General,"Battlefield reports arrive urgently: ""Border skirmishes escalate, Sire. Military response awaits direction.""","Measured response prevents escalation; maintain defensive posture.",5,10,-10,5,"Decisive action ends threats; authorize counterattack!",-5,-10,25,-20,,,,,190
190,General,"The field commander discusses engagement rules: ""Your military response shapes border security. Tactical approaches vary.""",Fortified positions with limited patrol engagement.,10,5,5,-15,Aggressive patrols with authorization to cross borders.,-10,-15,30,-20,189,Right,,,
191,Court Philosopher,"The philosopher debates natural rights: ""Property ownership determines civic participation, Your Majesty. Voting rights await definition.""","Land ownership ensures responsible voting; maintain property requirements.",15,-20,5,0,"Human dignity demands voice; expand voting rights.",-15,25,-5,-10,,,,,192
192,Court Philosopher,"The political theorist discusses representation: ""Your voting rights decision shapes governance. Implementation approaches vary.""",Tiered voting power based on tax contribution.,10,-15,10,-5,Equal voting rights with education requirements.,-20,20,-5,-10,191,Right,,,
193,Master Blacksmith,"The weaponsmith presents battlefield reports: ""Crossbow technology transforms warfare, Your Majesty. Adoption requires decision.""","Traditional archery connects us to our heritage; limit adoption.",10,-5,15,-5,"Technological advantage ensures victory; adopt widely!",-10,5,25,-20,,,,,194
194,Master Blacksmith,"The weapons designer discusses implementation: ""Your crossbow decision affects military capability. Deployment approaches differ.""",Elite units only with specialized training.,5,0,20,-15,Widespread adoption throughout infantry forces.,-5,-5,30,-25,193,Right,,,
195,Royal Seneschal,"The household manager speaks urgently: ""Palace security procedures conflict with efficiency, Your Highness. Staff operations suffer.""","Security outweighs convenience; maintain strict procedures.",0,-10,15,-5,"Practical operations require balance; modify protocols.",-5,15,-5,0,,,,,196
196,Royal Seneschal,"The operations coordinator discusses workflow: ""Your security modification affects palace function. Implementation approaches vary.""",Time-based restrictions limiting movement during sensitive periods.,5,-15,10,-5,Zone-based clearances allowing greater staff mobility.,-10,20,-5,-5,195,Right,,,
197,Master of Spies,"The spymaster reports covertly: ""Foreign agents infiltrate merchant caravans, Sire. Trade routes carry more than goods.""","Open commerce requires some risk; maintain current monitoring.",5,-5,5,5,"Security requires vigilance; increase merchant inspections.",-5,-15,15,-10,,,,,198
198,Master of Spies,"The counterintelligence expert discusses trade security: ""Your merchant monitoring affects commerce and intelligence. Implementation approaches differ.""",Targeted surveillance of suspicious merchants only.,0,-10,10,-5,Comprehensive registration and inspection system.,-10,-20,20,-15,197,Right,,,
199,Sheriff,"The law officer speaks firmly: ""Criminal trials lack consistency, Your Majesty. Judicial reform awaits your guidance.""","Local customs ensure justice reflects community values; maintain diversity.",10,-10,0,0,"Equal treatment requires standardization; reform immediately!",-10,20,5,-10,,,,,200
200,Sheriff,"The judicial administrator discusses legal frameworks: ""Your judicial reform shapes legal proceedings. Implementation approaches vary.""",Written guidelines preserving judicial discretion.,5,-5,5,-5,Mandatory procedures with appellant review systems.,-15,15,0,-15,199,Right,,,
201,Court Physician,"The doctor presents disturbing findings: ""Waterborne illness spreads through the capital, Your Majesty. Public wells require attention.""","Individual cleanliness remains personal responsibility; focus on education.",15,-20,0,5,"Public health requires infrastructure; purify water sources!",-15,25,0,-20,,,,,202
202,Court Physician,"The public health expert discusses sanitation: ""Your water purification decision affects disease rates. Implementation approaches vary.""",Limited intervention focusing on noble districts.,20,-25,0,-10,Comprehensive system serving all neighborhoods equally.,-15,30,0,-25,201,Right,,,
203,Master of the Hunt,"The royal huntsman appears concerned: ""Forest management affects game populations, Sire. Sustainable practices require implementation.""","Nature balances itself; continue current practices.",5,-5,0,0,"Planned management ensures future hunting; implement reforms.",-5,15,0,-10,,,,,204
204,Master of the Hunt,"The conservation expert discusses sustainability: ""Your forest management decision affects wildlife populations. Implementation approaches vary.""",Rotating hunting grounds allowing natural recovery.,10,0,5,-5,Scientific management with breeding program support.,-5,10,0,-15,203,Right,,,
205,Abbot,"The monastic leader speaks passionately: ""Literacy changes society, Your Majesty. Shall we expand monastery schools?""","Noble education takes priority; limit commoner literacy.",20,-20,5,5,"Knowledge uplifts all souls; expand education!",-15,25,-5,-15,,,,,206
206,Abbot,"The educational administrator discusses literacy programs: ""Your education expansion affects social mobility. Pedagogical approaches differ.""",Religious education emphasizing moral instruction.,25,-10,0,-10,Practical literacy focusing on administrative needs.,-10,20,0,-10,205,Right,,,
207,Grand Inquisitor,"The inquisitor speaks with religious conviction: ""Forbidden knowledge corrupts minds, Your Majesty. University curriculum requires purification.""","Academic freedom advances knowledge; reject censorship.",-25,15,-5,-5,"Spiritual purity requires vigilance; authorize oversight!",30,-20,5,-10,,,,,208
208,Grand Inquisitor,"The educational overseer discusses curriculum control: ""Your academic oversight decision affects intellectual development. Implementation approaches vary.""",Limited review of theological materials only.,15,-10,0,-5,Comprehensive approval system for all subjects.,25,-25,10,-15,207,Right,,,
209,Court Alchemist,"The researcher presents military applications: ""Chemical compounds offer tactical advantages, Sire. Battlefield testing awaits authorization.""","Honorable combat follows traditions; reject such methods.",15,-5,5,0,"Victory requires advantage; develop these weapons!",-15,0,25,-15,,,,,210
210,Court Alchemist,"The weapons developer discusses ethical boundaries: ""Your chemical warfare decision affects military doctrine. Application approaches differ.""",Defensive preparations only without deployment authorization.,10,0,10,-10,Offensive capability with immediate battle integration.,-20,-10,30,-20,209,Right,,,
211,Fleet Admiral,"The naval commander presents strategic concerns: ""Sea lanes face pirate threats, Your Majesty. Response options await.""","Merchant protection remains their responsibility; provide limited patrols.",0,-15,5,5,"Commerce requires security; eliminate pirate havens!",-5,20,20,-20,,,,,212
212,Fleet Admiral,"The maritime security expert discusses naval operations: ""Your piracy response affects trade security. Tactical approaches vary.""",Defensive escorts protecting key trade convoys.,0,10,10,-15,Aggressive operations targeting pirate bases.,-5,0,25,-20,211,Right,,,
213,Master of Coin,"The treasurer presents economic analysis: ""Currency manipulation occurs in border regions, Your Majesty. Counterfeit coins undermine trade.""","Local markets will adjust naturally; maintain current enforcement.",5,-15,0,5,"Economic stability requires intervention; increase penalties!",-5,-10,10,-10,,,,,214
214,Master of Coin,"The monetary expert discusses currency protection: ""Your counterfeit response affects economic confidence. Enforcement approaches vary.""",Enhanced markings on new coin issues.,10,-5,0,-15,Mandatory currency inspections at all major markets.,-5,-15,5,-10,213,Right,,,
215,Royal Cartographer,"The explorer presents discoveries: ""Mountain passes reveal new trade routes, Your Highness. Development would reduce journey times.""","Established routes have proven reliability; delay investment.",10,-15,5,10,"Efficient trade enriches all; develop these routes!",-5,25,0,-20,,,,,216
216,Royal Cartographer,"The route planner discusses development: ""Your mountain route decision affects trade patterns. Construction approaches vary.""",Military access routes with limited merchant use.,5,-5,15,-15,Commercial highways with way stations and bridges.,-5,20,-5,-25,215,Right,,,
217,Queen,"The queen speaks with strategic insight: ""Noble daughters receive limited education, husband. Their potential remains untapped.""","Traditional women's arts suffice for their roles.",15,-15,0,0,"Capable minds strengthen the realm; expand their education.",-15,20,0,-10,,,,,218
218,Queen,"The royal educator discusses female education: ""Your women's education policy affects court culture. Curriculum approaches differ.""",Domestic and artistic skills emphasizing traditional roles.,20,-10,0,-5,Comprehensive education including governance and languages.,-20,25,0,-15,217,Right,,,
219,Noble Lord,"The aristocrat speaks of military service: ""Noble sons traditionally command, Your Majesty. Merit promotions threaten this tradition.""","Birth and blood ensure proper command; maintain noble preference.",20,-15,10,-5,"Capability determines leadership; promote by merit.",-20,20,15,-10,,,,,220
220,Noble Lord,"The military advisor discusses command structure: ""Your promotion policy affects officer corps composition. Selection criteria vary.""",Combined system with accelerated promotion for nobility.,15,-10,15,-10,Pure merit system with blind evaluation processes.,-25,25,20,-15,219,Right,,,
221,Foreign Ambassador,"The diplomat speaks with practiced neutrality: ""Religious refugees seek asylum, Your Majesty. Their persecution continues abroad.""","Foreign internal affairs remain their concern; deny entry.",20,-15,0,5,"Humanitarian principles demand compassion; grant asylum.",-15,25,0,-10,,,,,222
222,Foreign Ambassador,"The refugee coordinator discusses settlement: ""Your asylum decision affects international relations. Integration approaches vary.""",Temporary status with restricted settlement locations.,10,-10,0,-5,Full residency rights with settlement freedom.,-20,20,-5,-15,221,Right,,,
223,Master of Ceremonies,"The protocol master speaks urgently: ""Royal birthday celebrations approach, Sire. Scale and scope await your decision.""","Excessive display wastes resources; maintain modesty.",5,-20,0,15,"Royal celebrations unify the people; spare no expense!",-5,25,0,-25,,,,,224
224,Master of Ceremonies,"The event planner discusses celebration formats: ""Your birthday ceremony affects public perception. Festival approaches vary.""",Private court celebration with limited noble attendance.,10,-5,5,-10,Public festivities accessible to common citizens.,-10,30,-5,-20,223,Right,,,
225,Royal Diplomat,"The diplomat returns from negotiations: ""Trade tariff disagreements threaten relations with eastern kingdoms, Your Majesty.""","Our markets require protection; maintain current tariffs.",10,-15,5,15,"Compromise facilitates commerce; reduce select duties.",-5,20,-5,-10,,,,,226
226,Royal Diplomat,"The trade negotiator discusses economic impacts: ""Your tariff decision affects international commerce. Implementation approaches vary.""",Selective reductions targeting luxury goods only.,5,-5,0,10,Comprehensive tariff reform across all categories.,-10,25,-5,-20,225,Right,,,
227,Court Astronomer,"The astronomer presents calendar calculations: ""Our dating system lacks precision, Your Majesty. Calendar reform would improve agricultural planning.""","Traditional measures connect us to ancestors; maintain current system.",15,-10,0,0,"Scientific accuracy benefits all; implement reforms.",-15,15,0,-10,,,,,228
228,Court Astronomer,"The chronologist discusses timekeeping: ""Your calendar decision affects civil organization. Implementation approaches vary.""",Limited adjustments preserving traditional holidays.,10,-5,0,-5,Comprehensive reform based on astronomical calculations.,-20,10,0,-15,227,Right,,,
229,Sheriff,"The law enforcement officer appears troubled: ""Prison conditions deteriorate, Your Majesty. Inmates suffer unnecessarily.""","Criminal punishment should remain harsh; maintain current conditions.",15,-25,10,-5,"Human dignity demands basic standards; improve facilities.",-10,20,-5,-15,,,,,230
230,Sheriff,"The prison administrator discusses reform: ""Your incarceration policy affects criminal rehabilitation. Facility approaches vary.""",Labor-focused imprisonment with productivity requirements.,10,-15,15,-10,Education and skills training preparing for reintegration.,-15,25,-5,-20,229,Right,,,
231,Royal Jester,"The entertainer speaks through clever wordplay: ""Court tensions rise with political factions, Sire. Perhaps a masquerade ball might ease relations?""","Serious governance has no time for such frivolity.",10,-15,5,5,"Social bonds strengthen political alliances; arrange it!",-10,25,-5,-15,,,,,232
232,Royal Jester,"The entertainment director discusses masquerade benefits: ""Your social event decision affects court dynamics. Format approaches vary.""",Structured event with careful seating arrangements.,15,-5,0,-10,Free-flowing masquerade encouraging anonymous interaction.,-15,20,-5,-15,231,Right,,,
