ID,Character,Prompt,Left Choice,Left Church,Left People,Left Military,Left Treasury,Right Choice,Right Church,Right People,Right Military,Right Treasury
118,Court Prophet,"The prophet's blind eyes seem to see beyond the veil: ""Doom approaches, Great King. Shall we prepare the people for hardship?""","False prophets spread only fear; have this one confined.",10,-10,0,0,"Forewarned is forearmed; issue proclamations of preparation.",-10,10,0,0
119,Royal Treasurer,"The treasurer's fingers dance nervously over ledgers: ""Our coffers empty while expenses grow, Sire. Shall we delay payment to the army?""","A delayed wage breeds discontent among those with swords.",0,7,-13,15,"The treasury must recover; the soldiers will understand.",0,-7,13,-15
120,Master Alchemist,"The alchemist offers a bubbling flask: ""This elixir promises wondrous effects, Your Grace. Shall we invest in alchemical research?""","Charlatans and fools chase transmutation; focus on practical matters.",8,-4,0,-9,"Innovation requires investment; fund the experiments.",-8,4,0,9
121,Duchess,"The duchess fans herself delicately: ""Court fashions grow stale, Your Majesty. Shall we import foreign couturiers?""","Local traditions suit us best; foreign frippery wastes gold.",5,3,0,-8,"Appearance reflects power; bring these artisans to court.",-5,-3,0,8
122,Foreign Merchant,"The merchant displays exotic spices: ""Rare treasures from distant lands, Sire. Shall we reduce import duties?""","Foreign goods threaten local producers; maintain the tariffs.",0,-9,0,11,"New tastes awaken new desires; lower the barriers.",0,9,0,-11
123,High Priest,"The priest's voice resonates with authority: ""Heretical texts circulate, Your Highness. Shall we burn prohibited books?""","Knowledge, even dangerous, deserves preservation.",-17,12,0,-3,"Protect the faith from corruption; light the pyres.",17,-12,0,3
124,Master of Horses,"The stable master bows deeply: ""Our cavalry mounts age, my king. Shall we breed a new bloodline?""","Our current steeds serve well enough; save the expense.",0,0,-7,9,"Superior mounts make superior forces; begin the program.",0,0,7,-9
125,Royal Cartographer,"The cartographer points to blank spaces on maps: ""Unknown territories beckon, Your Majesty. Shall we fund an expedition?""","The known world suffices for our needs.",0,-4,6,-13,"Knowledge of new lands brings advantage; prepare the ships.",0,4,-6,13
126,Court Sculptor,"The artist's hands bear marble dust: ""Your likeness deserves immortalizing, Sire. Shall I create statues for every town square?""","Monuments serve vanity, not the kingdom.",6,-7,0,-5,"Let my visage inspire loyalty throughout the realm!",-6,7,0,5
127,Master of Coin,"The treasurer presents a new metal alloy: ""Our currency could stretch further, Your Grace. Shall we debase the coinage slightly?""","Honest money reflects a honest rule; maintain purity.",7,9,0,-16,"A small adjustment none shall notice; proceed with care.",-7,-9,0,16
128,Foreign Ambassador,"The ambassador bows with exotic flourish: ""My emperor offers his daughter's hand, Great King. Shall we consider this marriage alliance?""","Foreign blood complicates succession; decline politely.",3,-6,9,0,"Political marriages forge strong bonds; begin negotiations.",-3,6,-9,0
129,Master Bowyer,"The bowyer demonstrates a new weapon design: ""This crossbow requires less training, Your Highness. Shall we arm the common militia?""","Only professional soldiers should bear lethal arms.",0,-11,12,-8,"A peasant who can fight is twice valuable; distribute the weapons.",0,11,-12,8
130,Cathedral Builder,"The architect presents soaring designs: ""Your reign could be marked by divine monuments, my liege. Shall we build a grand cathedral?""","Faith needs no marble to flourish; the expense is unjustified.",12,-3,0,-14,"Let this structure reach toward heaven like our devotion!",-12,3,0,14
131,Plague Survivor,"The scarred commoner kneels trembling: ""The sickness returns, Your Majesty. Shall we burn infected villages?""","Such drastic measures spread only terror; seek healing instead.",5,-16,0,-4,"Sacrifice the few to save the many; send the torches.",-5,16,0,4
132,Court Poet,"The poet gestures dramatically: ""Your deeds deserve immortalizing, Sire. Shall I compose an epic celebrating your glory?""","Actions speak louder than verses; save your ink.",4,-9,0,-3,"Let generations sing of my magnificence!",-4,9,0,3
133,Master Brewer,"The brewer offers a foaming tankard: ""A new recipe to please the masses, Your Grace. Shall we establish royal taverns?""","Drunkenness breeds disorder; moderate such establishments.",5,-16,0,6,"Happy subjects are loyal subjects; open the taverns!",-5,16,0,-6
134,Forest Warden,"The warden's clothes carry the scent of pine: ""Noble hunting depletes the royal forest, my king. Shall we restrict the season?""","The aristocracy deserves its traditional pastimes.",7,-4,3,0,"Conservation ensures future bounty; impose the limits.",-7,4,-3,0
135,Cheese Maker,"The artisan presents a pungent wheel: ""Our cheeses gain fame abroad, Your Majesty. Shall we expand dairy production?""","Focus on staple crops instead of luxuries.",0,-6,0,5,"A kingdom known for its delicacies gains prestige; proceed.",0,6,0,-5
136,Royal Astronomer,"The astronomer points excitedly at star charts: ""The heavens reveal patterns, Sire. Shall we build an observatory tower?""","Stars offer pretty lights, nothing more useful.",9,-3,0,-7,"Celestial knowledge grants advantage; begin construction.",-9,3,0,7
137,War Veteran,"The scarred warrior kneels with difficulty: ""Veterans starve, Your Highness. Shall we establish pensions for wounded soldiers?""","The army pays in glory, not in gold.",0,-10,14,-19,"Those who bled for the crown deserve its protection.",0,10,-14,19
138,Court Wizard,"The wizard's robes shimmer with arcane energy: ""Dark forces gather, my king. Shall we recruit magical practitioners?""","Sorcery corrupts the soul; banish these practices.",13,-8,5,-7,"Power, whatever its source, serves the kingdom.",-13,8,-5,7
139,Ship Captain,"The captain unrolls sea charts: ""Piracy threatens our trade, Your Majesty. Shall we establish a naval patrol?""","Merchants must protect their own ventures.",0,-13,8,-10,"Secure routes increase commerce; commission the ships.",0,13,-8,10
140,Royal Baker,"The baker presents an ornate loaf: ""Grain prices rise while harvests falter, Sire. Shall we open the royal granaries?""","The reserves protect against future famine; maintain stores.",5,-20,0,10,"None shall hunger while wheat sits in storage.",-5,20,0,-10
141,Executioner,"The hooded figure sharpens his axe: ""Crime spreads like plague, Your Grace. Shall we implement harsher punishments?""","Mercy reflects strength, not weakness.",8,-15,5,0,"Fear shall restore order; approve the new measures.",-8,15,-5,0
142,Master of Hounds,"The kennel master's dogs heel perfectly: ""The hunting season approaches, my liege. Shall we host a grand royal hunt?""","Displays of excess set poor example.",7,-8,0,-6,"Demonstrate royal prowess; prepare the finest hounds!",-7,8,0,6
143,Court Dancer,"The performer moves with hypnotic grace: ""Art elevates the soul, Your Majesty. Shall we establish a royal dance troupe?""","Entertainment serves no practical purpose.",6,-9,0,-4,"Beauty and culture distinguish us from barbarians.",-6,9,0,4
144,Chief Judge,"The judge's stern expression never wavers: ""Justice delays with our overflowing courts, Sire. Shall we appoint more magistrates?""","Quality of justice matters more than speed.",0,-7,0,-9,"Swift justice is true justice; expand the courts.",0,7,0,9
145,Wine Merchant,"The vintner offers a crystal goblet: ""Southern vineyards flourish, Your Highness. Shall we nationalize wine production?""","Private enterprise drives innovation; leave them be.",0,-11,0,17,"Royal vintages shall bring prestige and gold; make it so.",0,11,0,-17
146,Temple Priestess,"The priestess's gentle voice carries authority: ""Women seek greater roles in worship, Great King. Shall we expand women's religious rights?""","Tradition guides faith properly; maintain current practices.",12,-14,0,0,"The divine speaks through all voices; implement the changes.",-12,14,0,0
147,Court Painter,"The artist's hands are stained with pigment: ""Your dynasty deserves commemoration, Sire. Shall I create a grand royal portrait series?""","Modesty better becomes a ruler than vanity.",5,-6,0,-8,"Show our magnificence to generations yet unborn!",-5,6,0,8
148,Master Armorer,"The armorer presents a polished breastplate: ""New metallurgy techniques improve protection, Your Majesty. Shall we reequip the royal guard?""","Current equipment serves well enough; save the metal.",0,3,-13,12,"Only the best shall protect the crown; forge new armor.",0,-3,13,-12
149,Royal Geographer,"The scholar adjusts his spectacles: ""Regional disputes arise from poor boundaries, my liege. Shall we survey and mark all borders clearly?""","Let local custom determine boundaries as it always has.",0,-8,10,-7,"Clear borders prevent conflicts; send the surveyors.",0,8,-10,7
150,Court Composer,"The musician clutches a sheaf of notes: ""Foreign melodies corrupt our traditions, Your Grace. Shall we ban non-native music?""","Art flows where it will; restrictions only embitter.",9,-12,0,0,"Cultural purity must be maintained; enforce the ban.",-9,12,0,0
151,Naval Engineer,"The engineer presents ship designs: ""Larger vessels would dominate the seas, Sire. Shall we modernize our fleet?""","Our current ships navigate well enough.",0,-4,17,-19,"Command of the waves ensures prosperity; begin construction.",0,4,-17,19
152,Foreign Doctor,"The physician bows with exotic flourish: ""My techniques are unknown in your land, Your Majesty. Shall we establish a medical academy?""","Traditional healers serve our needs adequately.",8,-14,0,-7,"Knowledge heals more than herbs; fund this institution.",-8,14,0,7
153,Royal Librarian,"The scholar clutches rare manuscripts: ""Knowledge fades with time, my king. Shall we establish a great library?""","Books serve scholars, not kingdoms.",13,-11,0,-6,"Preserved wisdom guides future generations; begin collection.",-13,11,0,6
154,Farmer's Representative,"The weather-beaten man kneels awkwardly: ""Landlords demand ever more, Your Highness. Shall we reform tenancy laws?""","Property rights form society's foundation; maintain order.",6,-19,0,7,"Justice demands fair treatment; implement the reforms.",-6,19,0,-7
155,Master Tailor,"The tailor presents luxurious fabric: ""Court fashion influences the kingdom, Sire. Shall we establish a dress code for nobility?""","Such regulations create needless resentment.",4,-8,0,0,"Proper appearance reflects proper deference; decree the standards.",-4,8,0,0
156,Court Historian,"The elderly scholar's eyes remain sharp: ""Your predecessors' mistakes bear studying, Your Grace. Shall we revise the royal chronicles?""","History serves truth, not convenience.",-8,7,0,-3,"Some truths best remain obscured; edit with discretion.",8,-7,0,3
157,Master of Ceremonies,"The official bows with perfect form: ""Court protocol grows lax, my liege. Shall we enforce stricter etiquette?""","Substance matters more than ceremony.",6,-9,0,0,"Order begins with proper forms; implement new standards.",-6,9,0,0
158,Foreign Engineer,"The engineer presents mechanical drawings: ""Water could flow to every home, Your Majesty. Shall we build an aqueduct system?""","Such luxuries exceed our current needs.",0,-16,0,-14,"Public works improve public health; begin construction.",0,16,0,14
159,Night Watch Captain,"The guard's eyes betray exhaustion: ""Crime flourishes after dark, Sire. Shall we double the night patrol?""","The watch stretches thin already; make do.",0,-12,6,-8,"Safety justifies expense; recruit more guards.",0,12,-6,8
160,Border Lord,"The noble's attire is practical rather than ostentatious: ""Outlying provinces feel forgotten, Your Highness. Shall we conduct a royal progress?""","The capital requires my presence; they must understand.",0,-14,7,-11,"Show the flag throughout the realm; prepare the caravan.",0,14,-7,11
161,Court Alchemist,"The alchemist offers a glowing vial: ""This formula promises wonders, my king. Shall we fund a royal laboratory?""","Charlatan's tricks waste resources.",11,-6,0,-9,"Scientific advancement serves the kingdom; provide funding.",-11,6,0,9
162,Textile Merchant,"The merchant displays colorful fabrics: ""Foreign looms threaten our weavers, Your Majesty. Shall we ban imported textiles?""","Trade restrictions hurt more than help.",0,-13,0,7,"Protect local craftsmanship; enforce the prohibition.",0,13,0,-7
163,Master Chef,"The chef presents an elaborate dish: ""Culinary arts elevate diplomacy, Your Grace. Shall we host a banquet for foreign dignitaries?""","Substance outweighs presentation in negotiations.",4,-8,0,-12,"Impressions form foundations for agreements; approve the feast.",-4,8,0,12
164,Religious Reformer,"The cleric speaks with passionate intensity: ""The faith grows corrupt, Sire. Shall we support religious reformation?""","Tradition anchors faith; heresy destroys it.",19,-13,0,-4,"Pure faith requires occasional cleansing; endorse the reforms.",-19,13,0,4
165,City Architect,"The architect points to crumbling walls: ""The capital's infrastructure fails, Your Highness. Shall we raise taxes for repairs?""","Citizens must contribute to their own welfare.",0,-17,0,13,"Public works benefit all; implement the levy.",0,17,0,-13
166,Weapon Smith,"The smith presents an innovative design: ""This new sword-breaker gives tactical advantage, my liege. Shall we equip elite forces?""","Traditional arms have proven their worth.",0,0,-9,-11,"Advantage in battle saves lives; commission the weapons.",0,0,9,11
167,Forest Druid,"The druid's eyes reflect ancient wisdom: ""Sacred groves face the axe, Great King. Shall we protect the ancient forests?""","Progress requires resources; the woods must yield.",15,-13,0,-6,"Some traditions deserve preservation; mark the boundaries.",-15,13,0,6
168,Royal Gardener,"The gardener presents exotic bulbs: ""Foreign flowers could grace our palace, Your Majesty. Shall we import rare species?""","Native blooms reflect our kingdom's character.",4,-3,0,-5,"Beauty recognizes no borders; acquire these treasures.",-4,3,0,5
169,Master Carpenter,"The craftsman displays intricate woodwork: ""Our furniture gains fame abroad, Sire. Shall we establish a royal workshop?""","Private enterprise flourishes without interference.",0,-7,0,-9,"Royal patronage elevates craftsmanship; found the guild.",0,7,0,9
170,Grain Merchant,"The merchant nervously tugs his collar: ""Harvests falter while mouths multiply, Your Grace. Shall we import foreign grain?""","Local production must increase; self-sufficiency is essential.",0,-15,0,-14,"Hungry subjects become rebels; secure the shipments.",0,15,0,14
171,Court Astrologer,"The astrologer consults complex charts: ""The stars speak of approaching change, my king. Shall we delay the military campaign?""","Celestial bodies do not command armies.",10,0,-18,10,"Wisdom heeds all omens; postpone until favorable signs.",-10,0,18,-10
172,Spice Merchant,"The merchant offers fragrant samples: ""Eastern spices fetch enormous prices, Your Highness. Shall we fund a trading expedition?""","Focus on necessities before luxuries.",0,-6,0,-13,"New tastes create new markets; commission the voyage.",0,6,0,13
173,Master of Revels,"The entertainer bows with flourish: ""The people's spirits falter, Sire. Shall we declare a public holiday?""","Work builds character better than celebration.",5,-17,0,-4,"Respite renews strength; announce the festivities.",-5,17,0,4
174,Royal Mathematician,"The scholar demonstrates complex calculations: ""Numbers hold power, Your Majesty. Shall we standardize weights and measures?""","Local traditions serve communities adequately.",0,-9,0,-8,"Uniformity facilitates commerce; implement the standards.",0,9,0,8
175,Border Guard,"The soldier kneels, exhaustion evident: ""Patrols stretch thin along the frontier, my liege. Shall we construct a system of watchtowers?""","The natural terrain provides sufficient barriers.",0,-3,13,-16,"Vigilance preserves peace; begin construction.",0,3,-13,16
176,Perfumer,"The artisan offers a delicate vial: ""Scent influences perception, Your Grace. Shall we develop a signature royal perfume?""","Such frivolities waste precious resources.",3,-4,0,-6,"Sensory impressions form lasting memories; proceed.",-3,4,0,6
177,Master Jeweler,"The craftsman presents a dazzling crown: ""Your regalia should outshine all others, Sire. Shall we commission new royal jewels?""","Ostentatious display suggests insecurity, not strength.",4,-5,0,-17,"Visual splendor reinforces authority; begin the work.",-4,5,0,17
178,Prison Warden,"The warden's keys jangle ominously: ""The dungeons overflow, Your Majesty. Shall we construct a larger prison?""","Mercy better serves justice than confinement.",7,-12,0,-8,"Order requires consequences; expand the facilities.",-7,12,0,8
179,Mining Engineer,"The engineer presents ore samples: ""Deeper veins promise richer yields, Your Highness. Shall we expand mining operations?""","Current production meets our needs adequately.",0,-7,0,-15,"Wealth beneath our feet awaits only effort; proceed.",0,7,0,15
180,Royal Beekeeper,"The beekeeper's calm demeanor soothes: ""Our honey could sweeten foreign tables, my king. Shall we develop apiaries?""","Focus on staple crops before luxuries.",0,-4,0,-5,"Small investments yield sweet returns; establish the hives.",0,4,0,5
181,Banner Maker,"The artisan unfurls colorful standards: ""Your armies march under faded flags, Sire. Shall we create new royal banners?""","Substance matters more than symbols.",0,0,-5,-6,"Pride marches beneath proud colors; commission the standards.",0,0,5,6
182,Salt Merchant,"The merchant offers white crystals: ""Salt preserves life itself, Your Grace. Shall we establish a royal monopoly?""","Markets function best without interference.",0,-14,0,19,"Essential goods warrant crown control; implement the regulations.",0,14,0,-19
183,Master of Dance,"The performer demonstrates elegant movements: ""Court ceremonies lack refinement, Your Majesty. Shall we establish formal dance protocols?""","Substance outweighs style in governance.",5,-7,0,-3,"Precision in movement reflects precision in rule; standardize the forms.",-5,7,0,3
184,Royal Cartographer,"The scholar displays detailed maps: ""Our charts contain dangerous inaccuracies, my liege. Shall we fund a comprehensive survey?""","Current maps serve well enough for practical purposes.",0,-5,8,-10,"Knowledge of our realm improves governance; commission the work.",0,5,-8,10
185,Horse Breeder,"The stablemaster presents a magnificent stallion: ""Superior mounts grant advantage, Your Highness. Shall we establish a royal stud farm?""","Our current cavalry serves adequately.",0,0,-8,-11,"Bloodlines determine battlefield superiority; approve the program.",0,0,8,11
186,Court Physician,"The doctor's hands shake slightly: ""A new malady spreads among the poor, Sire. Shall we establish public infirmaries?""","Disease culls the weak; nature's way is best.",7,-19,0,-9,"Preventable suffering diminishes the kingdom; build the hospitals.",-7,19,0,9
187,Master Glassblower,"The artisan presents a delicate goblet: ""Our techniques advance rapidly, Your Majesty. Shall we export our glassware?""","Keep our methods secret; advantage lies in exclusivity.",0,-6,0,-8,"Beauty should be shared while bringing profit; permit the trade.",0,6,0,8
188,Royal Falconer,"The falconer's bird perches regally on his arm: ""These hunters serve more than sport, Your Grace. Shall we expand the royal mews?""","Such pastimes drain resources better used elsewhere.",5,-4,0,-7,"The symbolism alone justifies the expense; proceed.",-5,4,0,7
189,Foreign Scholar,"The academic speaks with strange accent: ""Knowledge transcends borders, my king. Shall we welcome foreign students to our universities?""","Outside influences corrupt traditional learning.",9,-10,0,-3,"Exchange of ideas breeds innovation; open the doors.",-9,10,0,3
190,Master Builder,"The architect presents stone samples: ""Our buildings could last millennia, Your Highness. Shall we require stone construction in the capital?""","Such regulations burden development unnecessarily.",0,-11,0,-14,"Fire and decay shall not touch our legacy; enact the code.",0,11,0,14
191,Court Chamberlain,"The official speaks in hushed tones: ""Palace expenses grow unchecked, Sire. Shall we reduce the royal household?""","A king's court reflects his prominence.",0,-8,0,16,"Prudence begins at home; implement the reductions.",0,8,0,-16
192,Master of Canals,"The engineer gestures to water flow diagrams: ""Proper irrigation doubles yields, Your Majesty. Shall we construct a canal system?""","Nature provides water as it sees fit.",0,-15,0,-18,"Prosperity flows with water; begin excavation.",0,15,0,18
193,Temple Architect,"The designer presents soaring sketches: ""The gods deserve grandeur, my liege. Shall we rebuild the ancient temple?""","Faith resides in hearts, not in stone.",19,-7,0,-13,"Divine favor requires proper respect; commence construction.",-19,7,0,13
194,Messenger Guild Master,"The courier bows quickly: ""Information moves slowly, Your Grace. Shall we establish a royal messenger service?""","Current communications serve adequately.",0,-8,6,-9,"Swift news grants advantage; create the network.",0,8,-6,9
195,Silk Merchant,"The trader presents luminous fabric: ""Eastern silks command extraordinary prices, Sire. Shall we establish our own silk production?""","Importing finished goods requires less investment.",0,-6,0,-12,"Self-sufficiency in luxury builds wealth; acquire the silkworms.",0,6,0,12
196,Master of the Hunt,"The huntsman's weathered face shows respect: ""Game grows scarce in royal forests, Your Majesty. Shall we restrict hunting rights?""","Traditional privileges must be maintained.",5,-13,0,-3,"Conservation ensures future bounty; implement the restrictions.",-5,13,0,3
197,Court Astronomer,"The astronomer points to celestial charts: ""The stars reveal patterns, my king. Shall we align military campaigns with favorable constellations?""","Military matters respond to strategy, not stars.",12,0,-11,0,"All advantages, seen and unseen, serve victory.",-12,0,11,0
198,Master Locksmith,"The craftsman demonstrates an intricate mechanism: ""Your treasury deserves protection, Your Highness. Shall we upgrade palace security?""","Current measures suffice; save the metal.",0,0,-4,-7,"Prevention costs less than loss; implement the improvements.",0,0,4,7
199,Foreign Prince,"The handsome royal bows elegantly: ""Alliance strengthens both our realms, Your Majesty. Shall we arrange a marriage with my sister?""","Political marriages create more problems than solutions.",4,-6,9,0,"Diplomatic bonds secured by family rarely break.",-4,6,-9,0
200,Wine Steward,"The vintner presents an aged bottle: ""Our cellars contain treasures, Sire. Shall we host wine tastings for foreign dignitaries?""","Negotiation requires clear heads, not clouded judgment.",4,-5,0,-8,"Shared pleasure creates shared understanding; approve the events.",-4,5,0,8
201,Royal Sculptor,"The artist's powerful hands gesture expressively: ""Your likeness deserves immortalizing, Your Grace. Shall we place statues in every province?""","Monuments feed vanity, not prosperity.",8,-10,0,-16,"Let my image remind all who rules these lands!",-8,10,0,16
202,Master of Waters,"The official presents water samples: ""The capital's wells grow foul, my liege. Shall we build public fountains?""","Citizens must manage their own water needs.",5,-18,0,-11,"Clean water prevents disease; begin construction.",-5,18,0,11
203,Weapon Master,"The warrior demonstrates a foreign fighting style: ""Eastern techniques grant advantages, Your Majesty. Shall we train elite forces in these methods?""","Traditional combat has served our armies well.",0,0,-14,-6,"Adapt or perish on the battlefield; implement the training.",0,0,14,6
204,Book Binder,"The craftsman presents an ornate tome: ""Knowledge deserves preservation, Sire. Shall we establish a royal printing office?""","Manuscripts suffice for our current needs.",8,-9,0,-7,"Ideas multiply when shared widely; found the press.",-8,9,0,7
205,Temple Guardian,"The aged priest speaks with quiet authority: ""Sacred relics require protection, Your Highness. Shall we increase temple guards?""","Faith protects its own treasures.",17,-6,5,-7,"Holiness deserves defense; assign the soldiers.",-17,6,-5,7
206,Master Shipwright,"The naval engineer spreads detailed plans: ""Larger vessels dominate trade routes, my king. Shall we construct merchant galleons?""","Our current fleet serves commerce adequately.",0,-7,0,-19,"Control of shipping ensures prosperity; begin construction.",0,7,0,19
207,Court Perfumer,"The artisan offers delicate scents: ""Impressions form lasting alliances, Your Majesty. Shall we develop signature fragrances for diplomatic gifts?""","Substance matters more than such frivolities.",3,-4,0,-6,"Sensory experiences create powerful memories; proceed with creation.",-3,4,0,6
208,Royal Huntsman,"The tracker kneels, offering rare pelts: ""Your winter robes require renewal, Sire. Shall we organize a grand hunt in the northern forests?""","Extravagant displays waste resources.",5,-8,0,-7,"Demonstrate royal prowess while acquiring necessities; prepare the expedition.",-5,8,0,7
209,Master Weaver,"The artisan presents intricate tapestries: ""Your deeds deserve commemoration, Your Grace. Shall we create historical tapestries for the palace?""","History lives in chronicles, not cloth.",6,-6,0,-9,"Visual legacy endures longer than written words; commission the work.",-6,6,0,9
210,Royal Treasurer,"The official nervously presents ledgers: ""Our expenses exceed income, my liege. Shall we sell royal land holdings?""","Royal domains must remain intact for future generations.",0,-12,0,20,"Temporary measures solve temporary problems; proceed with sales.",0,12,0,-20
211,Master Gardener,"The horticulturist presents unusual seeds: ""These plants yield powerful medicine, Your Majesty. Shall we establish royal herb gardens?""","Traditional remedies serve well enough.",7,-8,0,-5,"Prevention costs less than cure; plant these healers.",-7,8,0,5
212,Court Astrologer,"The mystic consults elaborate charts: ""The stars predict conflict, Sire. Shall we delay the diplomatic mission?""","Celestial bodies do not dictate policy.",14,-6,9,0,"Prudence heeds all warnings; postpone until favorable signs.",-14,6,-9,0
213,Master of Roads,"The engineer presents surface samples: ""Trade requires reliable transport, Your Highness. Shall we pave the major highways?""","Current paths serve commerce adequately.",0,-13,7,-19,"Infrastructure enables prosperity; begin construction.",0,13,-7,19
214,Temple Oracle,"The blind seer speaks with distant voice: ""The gods demand sacrifice, my king. Shall we dedicate a golden statue?""","Faith resides in hearts, not in gold.",15,-8,0,-14,"Divine favor requires proper tribute; commission the work.",-15,8,0,14
215,Master of Pigments,"The artist displays vibrant colors: ""Foreign dyes create unprecedented beauty, Your Majesty. Shall we import these materials?""","Local resources have served our artists adequately.",4,-5,0,-8,"Beauty knows no borders; acquire these treasures.",-4,5,0,8
216,Master of Beasts,"The animal handler demonstrates trained wolves: ""These creatures serve better than dogs, Sire. Shall we breed them for the royal guard?""","Traditional methods have proven reliable.",0,0,-9,-4,"Innovation in defense saves lives; begin the program.",0,0,9,4
217,Royal Metallurgist,"The craftsman displays an unusual alloy: ""This metal resists corrosion, Your Grace. Shall we reforge the palace gates?""","Current structures serve adequately.",0,-3,0,-12,"Impressions begin at the threshold; commission the work.",0,3,0,12
218,Court Musician,"The composer presents sheet music: ""Harmony influences emotions, my liege. Shall we establish a royal orchestra?""","Resources should address needs before desires.",7,-11,0,-6,"Cultural refinement distinguishes enlightened rule; form the ensemble.",-7,11,0,6
219,Master of Fireworks,"The artificer's singed eyebrows suggest recent experiments: ""These displays inspire awe, Your Majesty. Shall we incorporate pyrotechnics in royal ceremonies?""","Such spectacles waste resources better used elsewhere.",0,-13,0,-7,"The mystique of monarchy grows through wonder; approve the displays.",0,13,0,7
220,Wine Master,"The vintner presents a rare vintage: ""Our cellars overflow with quality, Sire. Shall we export royal wines?""","Keep the best for the kingdom; foreigners have their own.",0,-5,0,-9,"Reputation spreads through pleasure; permit the trade.",0,5,0,9
221,Master of Horses,"The stable master leads a magnificent stallion: ""This bloodline excels in battle, Your Grace. Shall we improve our cavalry mounts?""","Our current steeds serve well enough.",0,0,-12,-16,"Superiority begins with foundation; approve the breeding program.",0,0,12,16
222,Court Jeweler,"The craftsman presents dazzling gems: ""Your crown lacks suitable grandeur, my king. Shall we commission new regalia?""","Substance outweighs appearance in true authority.",6,-7,0,-15,"The symbols of power must reflect its reality; begin the work.",-6,7,0,15
223,Master of Candles,"The artisan offers unusual illumination: ""These lights burn cleaner and longer, Your Majesty. Shall we refit the palace lighting?""","Current methods have served adequately.",0,-3,0,-7,"Progress begins in small improvements; approve the change.",0,3,0,7
224,Royal Embroiderer,"The artisan displays intricate needlework: ""Your banners fade with age, Sire. Shall we create new royal standards?""","Weathered flags carry their own honor.",0,0,-6,-8,"Fresh symbols inspire fresh loyalty; commission the work.",0,0,6,8
225,Master of Whispers,"The hooded figure speaks barely audibly: ""Secrets move in shadows, Your Grace. Shall we expand our network of informants?""","Honorable rule requires no subterfuge.",5,0,-10,-9,"Knowledge precedes action; infiltrate every court.",-5,0,10,9
226,Court Mathematician,"The scholar demonstrates complex calculations: ""Taxation lacks precision, my liege. Shall we implement a standardized assessment system?""","Traditional methods have served us adequately.",0,-16,0,17,"Efficiency increases revenue without increasing rates; develop the system.",0,16,0,-17
227,Master Glover,"The craftsman presents supple leatherwork: ""Your hands deserve protection, Your Majesty. Shall we commission special ceremonial gloves?""","Such details waste resources better used elsewhere.",3,-4,0,-5,"Appearance reinforces authority; approve the design.",-3,4,0,5
228,Royal Cartographer,"The mapmaker points to unmarked regions: ""Our knowledge has gaps, Sire. Shall we fund an exploratory expedition?""","Known territories demand our full attention.",0,-6,8,-13,"Unknown lands may hold vital resources; prepare the journey.",0,6,-8,13
229,Master of Festivals,"The organizer bows with theatrical flourish: ""The people's spirits falter, Your Grace. Shall we declare a seasonal celebration?""","Work builds character better than revelry.",4,-17,0,-6,"Shared joy creates shared loyalty; announce the festivities.",-4,17,0,6
230,Court Physician,"The doctor displays medicinal herbs: ""A new treatment shows promise, my king. Shall we establish a royal hospital?""","Traditional healers serve the populace adequately.",8,-18,0,-12,"Centralized care advances knowledge; found the institution.",-8,18,0,12
231,Master Builder,"The architect presents innovative designs: ""Your bridges could span generations, Your Majesty. Shall we rebuild the river crossings?""","Current structures serve commerce adequately.",0,-9,5,-16,"Infrastructure outlasts kings; begin construction.",0,9,-5,16
232,Temple Guardian,"The aged priest speaks with quiet authority: ""Holy sites fall to disrepair, Sire. Shall we fund temple restorations?""","Faith resides in hearts, not in buildings.",17,-7,0,-8,"Sacred spaces inspire sacred thoughts; approve the renovations.",-17,7,0,8
233,Royal Brewer,"The craftsman offers a foaming tankard: ""This recipe could become famous, Your Grace. Shall we establish royal breweries?""","The crown need not involve itself in such ventures.",0,-12,0,-6,"Content subjects rarely rebel; distribute the brew.",0,12,0,6
234,Master of Arms,"The weapons instructor demonstrates techniques: ""Our soldiers lack proper training, my liege. Shall we establish a formal military academy?""","Field experience teaches better than classrooms.",0,0,-15,-11,"Disciplined minds create disciplined forces; found the institution.",0,0,15,11
235,Court Painter,"The artist's hands bear colorful stains: ""Your image inspires loyalty, Your Majesty. Shall we distribute royal portraits throughout the realm?""","Actions inspire more than images.",6,-9,0,-8,"Let my face be known in every village!",-6,9,0,8
236,Master of Coins,"The treasurer presents metal samples: ""Our currency could reach further, Sire. Shall we adjust the silver content?""","Honest money reflects honest governance.",8,12,0,-20,"Small changes yield large results; implement the adjustment.",-8,-12,0,20
237,Royal Historian,"The scholar clutches ancient scrolls: ""Your ancestors' deeds fade from memory, Your Grace. Shall we commission an official chronicle?""","Present actions matter more than past glories.",9,-6,0,-7,"Those who forget history lose their identity; record our legacy.",-9,6,0,7
238,Master of Hounds,"The kennel master's dogs heel perfectly: ""These beasts serve loyalty itself, my king. Shall we expand the royal kennels?""","Resources should address needs before luxuries.",3,-5,0,-6,"Companions in hunt and court deserve proper care; approve the expansion.",-3,5,0,6
239,Court Astrologer,"The mystic consults elaborate charts: ""The stars align favorably, Your Majesty. Shall we schedule the coronation ceremony accordingly?""","Practical concerns determine timing, not celestial bodies.",12,-7,0,0,"All advantages, seen and unseen, serve the crown; follow the signs.",-12,7,0,0
